"date","neighborhood","temperature_f","humidity_percent","wind_speed_mph","traffic_index","green_space_percent","pm25","air_quality_category"
2025-01-01,"West",82.3,69.2,11,30.6,17,21.8,"Moderate"
2025-01-02,"East",72.1,61.4,4.3,90.2,33.8,26.3,"Moderate"
2025-01-03,"West",95.3,49.5,2,19,19.5,27.1,"Moderate"
2025-01-04,"North",61.6,50.6,5.9,53.6,13.2,24.6,"Moderate"
2025-01-05,"North",55.4,84.6,7,52.2,18.1,22.3,"Moderate"
2025-01-06,"West",75.8,44.6,9.2,38.8,29.8,19.9,"Moderate"
2025-01-07,"East",69.1,40.1,7,34.7,32.2,14.7,"Moderate"
2025-01-08,"South",115.1,64.3,7.5,29.8,12.9,24.5,"Moderate"
2025-01-09,"South",67.6,57.9,7.5,55.2,20.3,26.7,"Moderate"
2025-01-10,"Central",83.9,48.4,13.8,66.7,38.1,27.7,"Moderate"
2025-01-11,"West",63.8,77.9,8.3,54.3,11.4,21.5,"Moderate"
2025-01-12,"East",57.2,53.4,6.1,47.2,46.7,21.5,"Moderate"
2025-01-13,"South",60.4,29.5,8.2,75.4,15,24.4,"Moderate"
2025-01-14,"East",56.8,62,13.2,57.3,33.2,23.8,"Moderate"
2025-01-15,"East",69.3,34.9,0,81.9,14.4,27.3,"Moderate"
2025-01-16,"Central",59.9,63.8,7.7,63.7,16.5,23.5,"Moderate"
2025-01-17,"East",68.7,57.2,8.8,28.9,21.4,19.7,"Moderate"
2025-01-18,"North",61.9,36.8,11,77.1,30.6,21,"Moderate"
2025-01-19,"South",79.2,39.8,2.1,68.7,21.7,21.9,"Moderate"
2025-01-20,"Central",73.2,69.9,5.8,62.5,26.7,33.5,"Moderate"
2025-01-21,"West",52.7,72.5,6.9,37.9,31.5,26.6,"Moderate"
2025-01-22,"East",55.1,67.4,4.7,38.6,32.7,15.6,"Moderate"
2025-01-23,"South",73.3,61.3,6.7,51.6,44.9,16.2,"Moderate"
2025-01-24,"West",71.3,38.3,8.9,64.9,23.3,20.8,"Moderate"
2025-01-25,"West",66.8,64.3,10.9,66.1,44.5,17.9,"Moderate"
2025-01-26,"Central",62.1,50.3,6.9,88.9,24.3,29.3,"Moderate"
2025-01-27,"South",40.1,59.6,6.5,47,33.4,18.6,"Moderate"
2025-01-28,"North",50.9,78,10.7,66.5,13.2,24.2,"Moderate"
2025-01-29,"East",77,86.9,5,31.8,39.1,19.8,"Moderate"
2025-01-30,"East",46.7,62.2,6.1,48.4,45.7,17.8,"Moderate"
2025-01-31,"West",45.8,74.6,11.7,30.6,54.1,13.5,"Moderate"
2025-02-01,"North",87.6,57.3,8.1,41.3,27.8,23.5,"Moderate"
2025-02-02,"Central",54.2,58.1,12.4,22.6,51,9.5,"Good"
2025-02-03,"South",54.3,77.7,4.9,73.5,31.9,30,"Moderate"
2025-02-04,"East",76.7,79.9,6.3,68.8,26.9,26.2,"Moderate"
2025-02-05,"South",39.4,62.4,4.9,24.5,27.9,16.3,"Moderate"
2025-02-06,"South",83,48.3,10.5,25.8,43.8,13.2,"Moderate"
2025-02-07,"East",74,65,9.5,50.9,29,27.5,"Moderate"
2025-02-08,"East",81.7,60,6.3,31.9,29.6,24.7,"Moderate"
2025-02-09,"West",63.2,56.2,13.1,9.9,24.3,6.5,"Good"
2025-02-10,"North",48.3,39.7,7.2,63.1,13.4,23.8,"Moderate"
2025-02-11,"South",73.5,63.6,7.8,47.2,2.5,19.8,"Moderate"
2025-02-12,"Central",45.9,87.2,9.4,40,20.3,20.3,"Moderate"
2025-02-13,"South",79.2,58.3,9.2,62.9,11.6,23.3,"Moderate"
2025-02-14,"South",72.4,64.8,7.5,34.5,39.4,19.2,"Moderate"
2025-02-15,"North",59.9,71.6,10,64.8,45.5,20.2,"Moderate"
2025-02-16,"North",66.5,42.2,10,50.6,30.7,18,"Moderate"
2025-02-17,"South",39.4,40,1.9,73.4,0,27.6,"Moderate"
2025-02-18,"North",87.6,48.8,6.4,41.1,35.8,16.1,"Moderate"
2025-02-19,"North",68.9,37.9,2.7,22.7,45.7,14.7,"Moderate"
2025-02-20,"East",66.4,72.9,7,46.1,49.4,22.1,"Moderate"
2025-02-21,"West",81.9,53.6,8.4,71.7,36,29.5,"Moderate"
2025-02-22,"East",86.4,53.6,9.4,47.9,48.5,10.6,"Good"
2025-02-23,"South",67.1,24.9,10.8,59.2,37.8,17,"Moderate"
2025-02-24,"Central",41.6,91.2,5.1,53.9,23.9,23.1,"Moderate"
2025-02-25,"South",65.9,67.1,16.1,46.7,39,21,"Moderate"
2025-02-26,"West",66,51.7,0.8,47.7,9,25.4,"Moderate"
2025-02-27,"Central",79.2,37.1,7,53.2,45.4,22.7,"Moderate"
2025-02-28,"West",61.7,46.2,7.3,80.2,44.3,21.5,"Moderate"
2025-03-01,"East",80.9,58.1,4.6,33.1,28.2,21.6,"Moderate"
2025-03-02,"West",68.9,43.7,7.2,37.3,34.4,13.6,"Moderate"
2025-03-03,"North",75.2,73,8.5,81.7,38.8,28.5,"Moderate"
2025-03-04,"South",74.9,61.7,13.5,67.9,31.9,14.7,"Moderate"
2025-03-05,"North",72,58.1,9.1,16.9,41.6,7,"Good"
2025-03-06,"North",65.2,55.3,9.8,46.4,15,18.1,"Moderate"
2025-03-07,"West",70.9,59.6,11.9,29,27.1,25.1,"Moderate"
2025-03-08,"West",82.5,70.4,5.8,25.5,30.1,22,"Moderate"
2025-03-09,"South",71.1,53.8,8.5,88,21.5,18.1,"Moderate"
2025-03-10,"North",45.2,79,8.9,49.5,8.3,22.4,"Moderate"
2025-03-11,"Central",68.3,73.7,7.6,77.9,32.6,29.4,"Moderate"
2025-03-12,"North",41.6,38.2,4,24.8,22.6,12.6,"Moderate"
2025-03-13,"South",73.4,78.5,6.6,23.1,31.5,19,"Moderate"
